,edition,ruling,number_ruling,lie
12544,Pennsylvania,Mostly False,3,1
12546,Virginia,Half-True,2,0
12550,Florida,False,4,1
12551,Texas,False,4,1
12554,North Carolina,Half-True,2,0
12555,North Carolina,Mostly False,3,1
12556,Wisconsin,Pants on Fire!,5,1
12557,New York,False,4,1
12558,New York,Mostly False,3,1
12560,Wisconsin,Mostly False,3,1
12561,New York,True,0,0
12562,Illinois,Pants on Fire!,5,1
12564,Colorado,Mostly True,1,0
12568,Wisconsin,Half-True,2,0
12569,California,False,4,1
12570,Georgia,Half-True,2,0
12572,Texas,True,0,0
12573,North Carolina,Half-True,2,0
12576,Virginia,Mostly False,3,1
12578,Florida,Half-True,2,0
12579,Texas,False,4,1
12581,Florida,True,0,0
12583,Florida,Half-True,2,0
12584,North Carolina,Half-True,2,0
12585,Florida,Half-True,2,0
12588,Wisconsin,Mostly False,3,1
12589,Illinois,Half-True,2,0
12590,Arizona,Half-True,2,0
12592,Florida,Pants on Fire!,5,1
12593,Georgia,Pants on Fire!,5,1
12594,North Carolina,Half-True,2,0
12595,Nevada,Half-True,2,0
12596,Texas,Pants on Fire!,5,1
12597,Ohio,Half-True,2,0
12598,California,Half-True,2,0
12599,North Carolina,Pants on Fire!,5,1
12600,California,Mostly True,1,0
12601,Colorado,Pants on Fire!,5,1
12616,Wisconsin,Mostly True,1,0
12618,Ohio,Half-True,2,0
12619,Florida,Half-True,2,0
12622,Ohio,Half-True,2,0
12623,Ohio,Mostly False,3,1
12624,Ohio,True,0,0
12625,Ohio,Mostly True,1,0
12627,Wisconsin,Mostly True,1,0
12628,Pennsylvania,Mostly True,1,0
12629,Wisconsin,Half-True,2,0
12630,Texas,True,0,0
12632,Virginia,Half-True,2,0
12633,Florida,Mostly False,3,1
12635,New Hampshire,Mostly True,1,0
12636,Texas,Half-True,2,0
12637,California,Mostly False,3,1
12640,Texas,Mostly False,3,1
12642,Virginia,Half-True,2,0
12644,Wisconsin,False,4,1
12645,Pennsylvania,Pants on Fire!,5,1
12646,Georgia,Mostly True,1,0
12647,Arizona,True,0,0
12649,Florida,False,4,1
12651,Florida,Half-True,2,0
12652,Wisconsin,False,4,1
12655,Colorado,Mostly False,3,1
12659,Florida,False,4,1
12660,Wisconsin,Half-True,2,0
12661,New York,Mostly False,3,1
12662,California,False,4,1
12663,Illinois,Half-True,2,0
12664,New York,False,4,1
12666,Florida,Mostly True,1,0
12667,Florida,Mostly True,1,0
12670,North Carolina,Mostly False,3,1
12671,Texas,Mostly False,3,1
12673,New Hampshire,False,4,1
12674,Georgia,False,4,1
12675,Wisconsin,Mostly False,3,1
12676,Texas,True,0,0
12677,Wisconsin,Mostly True,1,0
12678,North Carolina,Pants on Fire!,5,1
12681,Virginia,Mostly False,3,1
12682,Ohio,False,4,1
12683,Florida,Pants on Fire!,5,1
12686,Florida,Half-True,2,0
12688,Arizona,Half-True,2,0
12689,Virginia,Half-True,2,0
12691,Texas,False,4,1
12692,Nevada,Half-True,2,0
12693,Colorado,Mostly False,3,1
12696,Ohio,Pants on Fire!,5,1
12697,Wisconsin,Mostly False,3,1
12698,Texas,Mostly False,3,1
12699,Missouri,Mostly False,3,1
12700,Missouri,Half-True,2,0
12701,Wisconsin,Mostly False,3,1
12702,Florida,False,4,1
12705,Wisconsin,True,0,0
12709,Wisconsin,Mostly True,1,0
12710,Missouri,Mostly False,3,1
12711,Oregon,True,0,0
12712,North Carolina,Half-True,2,0
12714,Missouri,Half-True,2,0
12715,Wisconsin,Half-True,2,0
12716,Texas,False,4,1
12717,Illinois,Mostly False,3,1
12719,Wisconsin,False,4,1
12720,North Carolina,Mostly True,1,0
12722,Wisconsin,False,4,1
12724,Nevada,Mostly True,1,0
12727,Colorado,Mostly False,3,1
12728,Wisconsin,True,0,0
12730,Wisconsin,Half-True,2,0
12731,Illinois,False,4,1
12732,North Carolina,True,0,0
12733,North Carolina,Mostly True,1,0
12734,New Hampshire,Pants on Fire!,5,1
12735,New Hampshire,Mostly False,3,1
12736,Missouri,Half-True,2,0
12737,Missouri,Mostly False,3,1
12738,Missouri,Mostly False,3,1
12739,Missouri,Mostly False,3,1
12743,Virginia,False,4,1
12744,Ohio,Mostly False,3,1
12746,Florida,Half-True,2,0
12749,Wisconsin,Half-True,2,0
12751,North Carolina,False,4,1
12752,Texas,True,0,0
12754,California,Pants on Fire!,5,1
12755,Wisconsin,Mostly True,1,0
12756,Virginia,Pants on Fire!,5,1
12757,Texas,True,0,0
12760,Wisconsin,Mostly False,3,1
12763,Georgia,True,0,0
12767,Texas,Mostly True,1,0
12768,California,Mostly True,1,0
12769,Texas,Half-True,2,0
12770,Wisconsin,False,4,1
12775,Wisconsin,False,4,1
12776,New York,Mostly True,1,0
12777,Virginia,False,4,1
12779,Florida,Mostly True,1,0
12781,Wisconsin,Mostly True,1,0
